"ITTER107","Territorio","TIPO_DATO35","Tipo dato","REATI_PS","Tipo di delitto","RIF_TIME","Periodo del commesso delitto","TIME","Seleziona periodo","Value","Flag Codes","Flags"
"IT","Italia","CRIMEN","numero di delitti denunciati dalle forze di polizia all'autorità giudiziaria","MASSMURD","strage","YRDUR","durante l'anno di riferimento","2006","2006",26,,
"IT","Italia","CRIMEN","numero di delitti denunciati dalle forze di polizia all'autorità giudiziaria","MASSMURD","strage","YRDUR","durante l'anno di riferimento","2007","2007",21,,
"IT","Italia","CRIMEN","numero di delitti denunciati dalle forze di polizia all'autorità giudiziaria","MASSMURD","strage","YRDUR","durante l'anno di riferimento","2008","2008",28,,
"IT","Italia","CRIMEN","numero di delitti denunciati dalle forze di polizia all'autorità giudiziaria","MASSMURD","strage","YRDUR","durante l'anno di riferimento","2009","2009",23,,
"IT","Italia","CRIMEN","numero di delitti denunciati dalle forze di polizia all'autorità giudiziaria","MASSMURD","strage","YRDUR","durante l'anno di riferimento","2010","2010",12,,
"IT","Italia","CRIMEN","numero di delitti denunciati dalle forze di polizia all'autorità giudiziaria","MASSMURD","strage","YRDUR","durante l'anno di riferimento","2011","2011",14,,
"IT","Italia","CRIMEN","numero di delitti denunciati dalle forze di polizia all'autorità giudiziaria","MASSMURD","strage","YRDUR","durante l'anno di riferimento","2012","2012",18,,
"IT","Italia","CRIMEN","numero di delitti denunciati dalle forze di polizia all'autorità giudiziaria","MASSMURD","strage","YRDUR","durante l'anno di riferimento","2013","2013",10,,
"IT","Italia","CRIMEN","numero di delitti denunciati dalle forze di polizia all'autorità giudiziaria","MASSMURD","strage","YRDUR","durante l'anno di riferimento","2014","2014",20,,
"IT","Italia","CRIMEN","numero di delitti denunciati dalle forze di polizia all'autorità giudiziaria","MASSMURD","strage","YRDUR","durante l'anno di riferimento","2015","2015",20,,
"IT","Italia","CRIMEN","numero di delitti denunciati dalle forze di polizia all'autorità giudiziaria","MASSMURD","strage","YRDUR","durante l'anno di riferimento","2016","2016",15,,
"IT","Italia","CRIMEN","numero di delitti denunciati dalle forze di polizia all'autorità giudiziaria","MASSMURD","strage","YRDUR","durante l'anno di riferimento","2017","2017",17,,
"IT","Italia","CRIMEN","numero di delitti denunciati dalle forze di polizia all'autorità giudiziaria","MASSMURD","strage","YRDUR","durante l'anno di riferimento","2018","2018",20,,
"IT","Italia","CRIMEN","numero di delitti denunciati dalle forze di polizia all'autorità giudiziaria","MASSMURD","strage","YRDUR","durante l'anno di riferimento","2019","2019",14,,
"IT","Italia","CRIMEN","numero di delitti denunciati dalle forze di polizia all'autorità giudiziaria","INTENHOM","omicidi volontari consumati","YRDUR","durante l'anno di riferimento","2006","2006",621,,
"IT","Italia","CRIMEN","numero di delitti denunciati dalle forze di polizia all'autorità giudiziaria","INTENHOM","omicidi volontari consumati","YRDUR","durante l'anno di riferimento","2007","2007",627,,
"IT","Italia","CRIMEN","numero di delitti denunciati dalle forze di polizia all'autorità giudiziaria","INTENHOM","omicidi volontari consumati","YRDUR","durante l'anno di riferimento","2008","2008",611,,
"IT","Italia","CRIMEN","numero di delitti denunciati dalle forze di polizia all'autorità giudiziaria","INTENHOM","omicidi volontari consumati","YRDUR","durante l'anno di riferimento","2009","2009",586,,
"IT","Italia","CRIMEN","numero di delitti denunciati dalle forze di polizia all'autorità giudiziaria","INTENHOM","omicidi volontari consumati","YRDUR","durante l'anno di riferimento","2010","2010",526,,
"IT","Italia","CRIMEN","numero di delitti denunciati dalle forze di polizia all'autorità giudiziaria","INTENHOM","omicidi volontari consumati","YRDUR","durante l'anno di riferimento","2011","2011",550,,
"IT","Italia","CRIMEN","numero di delitti denunciati dalle forze di polizia all'autorità giudiziaria","INTENHOM","omicidi volontari consumati","YRDUR","durante l'anno di riferimento","2012","2012",528,,
"IT","Italia","CRIMEN","numero di delitti denunciati dalle forze di polizia all'autorità giudiziaria","INTENHOM","omicidi volontari consumati","YRDUR","durante l'anno di riferimento","2013","2013",502,,
"IT","Italia","CRIMEN","numero di delitti denunciati dalle forze di polizia all'autorità giudiziaria","INTENHOM","omicidi volontari consumati","YRDUR","durante l'anno di riferimento","2014","2014",475,,
"IT","Italia","CRIMEN","numero di delitti denunciati dalle forze di polizia all'autorità giudiziaria","INTENHOM","omicidi volontari consumati","YRDUR","durante l'anno di riferimento","2015","2015",469,,
"IT","Italia","CRIMEN","numero di delitti denunciati dalle forze di polizia all'autorità giudiziaria","INTENHOM","omicidi volontari consumati","YRDUR","durante l'anno di riferimento","2016","2016",400,,
"IT","Italia","CRIMEN","numero di delitti denunciati dalle forze di polizia all'autorità giudiziaria","INTENHOM","omicidi volontari consumati","YRDUR","durante l'anno di riferimento","2017","2017",368,,
"IT","Italia","CRIMEN","numero di delitti denunciati dalle forze di polizia all'autorità giudiziaria","INTENHOM","omicidi volontari consumati","YRDUR","durante l'anno di riferimento","2018","2018",331,,
"IT","Italia","CRIMEN","numero di delitti denunciati dalle forze di polizia all'autorità giudiziaria","INTENHOM","omicidi volontari consumati","YRDUR","durante l'anno di riferimento","2019","2019",318,,
"IT","Italia","CRIMEN","numero di delitti denunciati dalle forze di polizia all'autorità giudiziaria","ATTEMPHOM","tentati omicidi","YRDUR","durante l'anno di riferimento","2006","2006",1468,,
"IT","Italia","CRIMEN","numero di delitti denunciati dalle forze di polizia all'autorità giudiziaria","ATTEMPHOM","tentati omicidi","YRDUR","durante l'anno di riferimento","2007","2007",1588,,
"IT","Italia","CRIMEN","numero di delitti denunciati dalle forze di polizia all'autorità giudiziaria","ATTEMPHOM","tentati omicidi","YRDUR","durante l'anno di riferimento","2008","2008",1621,,
"IT","Italia","CRIMEN","numero di delitti denunciati dalle forze di polizia all'autorità giudiziaria","ATTEMPHOM","tentati omicidi","YRDUR","durante l'anno di riferimento","2009","2009",1346,,
"IT","Italia","CRIMEN","numero di delitti denunciati dalle forze di polizia all'autorità giudiziaria","ATTEMPHOM","tentati omicidi","YRDUR","durante l'anno di riferimento","2010","2010",1309,,
"IT","Italia","CRIMEN","numero di delitti denunciati dalle forze di polizia all'autorità giudiziaria","ATTEMPHOM","tentati omicidi","YRDUR","durante l'anno di riferimento","2011","2011",1401,,
"IT","Italia","CRIMEN","numero di delitti denunciati dalle forze di polizia all'autorità giudiziaria","ATTEMPHOM","tentati omicidi","YRDUR","durante l'anno di riferimento","2012","2012",1327,,
"IT","Italia","CRIMEN","numero di delitti denunciati dalle forze di polizia all'autorità giudiziaria","ATTEMPHOM","tentati omicidi","YRDUR","durante l'anno di riferimento","2013","2013",1222,,
"IT","Italia","CRIMEN","numero di delitti denunciati dalle forze di polizia all'autorità giudiziaria","ATTEMPHOM","tentati omicidi","YRDUR","durante l'anno di riferimento","2014","2014",1250,,
"IT","Italia","CRIMEN","numero di delitti denunciati dalle forze di polizia all'autorità giudiziaria","ATTEMPHOM","tentati omicidi","YRDUR","durante l'anno di riferimento","2015","2015",1203,,
"IT","Italia","CRIMEN","numero di delitti denunciati dalle forze di polizia all'autorità giudiziaria","ATTEMPHOM","tentati omicidi","YRDUR","durante l'anno di riferimento","2016","2016",1079,,
"IT","Italia","CRIMEN","numero di delitti denunciati dalle forze di polizia all'autorità giudiziaria","ATTEMPHOM","tentati omicidi","YRDUR","durante l'anno di riferimento","2017","2017",1098,,
"IT","Italia","CRIMEN","numero di delitti denunciati dalle forze di polizia all'autorità giudiziaria","ATTEMPHOM","tentati omicidi","YRDUR","durante l'anno di riferimento","2018","2018",1050,,
"IT","Italia","CRIMEN","numero di delitti denunciati dalle forze di polizia all'autorità giudiziaria","ATTEMPHOM","tentati omicidi","YRDUR","durante l'anno di riferimento","2019","2019",1019,,
"IT","Italia","CRIMEN","numero di delitti denunciati dalle forze di polizia all'autorità giudiziaria","INFANTHOM","infanticidi","YRDUR","durante l'anno di riferimento","2006","2006",4,,
"IT","Italia","CRIMEN","numero di delitti denunciati dalle forze di polizia all'autorità giudiziaria","INFANTHOM","infanticidi","YRDUR","durante l'anno di riferimento","2007","2007",4,,
"IT","Italia","CRIMEN","numero di delitti denunciati dalle forze di polizia all'autorità giudiziaria","INFANTHOM","infanticidi","YRDUR","durante l'anno di riferimento","2008","2008",4,,
"IT","Italia","CRIMEN","numero di delitti denunciati dalle forze di polizia all'autorità giudiziaria","INFANTHOM","infanticidi","YRDUR","durante l'anno di riferimento","2009","2009",4,,
"IT","Italia","CRIMEN","numero di delitti denunciati dalle forze di polizia all'autorità giudiziaria","INFANTHOM","infanticidi","YRDUR","durante l'anno di riferimento","2010","2010",3,,
"IT","Italia","CRIMEN","numero di delitti denunciati dalle forze di polizia all'autorità giudiziaria","INFANTHOM","infanticidi","YRDUR","durante l'anno di riferimento","2011","2011",2,,
"IT","Italia","CRIMEN","numero di delitti denunciati dalle forze di polizia all'autorità giudiziaria","INFANTHOM","infanticidi","YRDUR","durante l'anno di riferimento","2012","2012",2,,
"IT","Italia","CRIMEN","numero di delitti denunciati dalle forze di polizia all'autorità giudiziaria","INFANTHOM","infanticidi","YRDUR","durante l'anno di riferimento","2013","2013",2,,
"IT","Italia","CRIMEN","numero di delitti denunciati dalle forze di polizia all'autorità giudiziaria","INFANTHOM","infanticidi","YRDUR","durante l'anno di riferimento","2014","2014",3,,
"IT","Italia","CRIMEN","numero di delitti denunciati dalle forze di polizia all'autorità giudiziaria","INFANTHOM","infanticidi","YRDUR","durante l'anno di riferimento","2015","2015",1,,
"IT","Italia","CRIMEN","numero di delitti denunciati dalle forze di polizia all'autorità giudiziaria","INFANTHOM","infanticidi","YRDUR","durante l'anno di riferimento","2016","2016",3,,
"IT","Italia","CRIMEN","numero di delitti denunciati dalle forze di polizia all'autorità giudiziaria","INFANTHOM","infanticidi","YRDUR","durante l'anno di riferimento","2017","2017",2,,
"IT","Italia","CRIMEN","numero di delitti denunciati dalle forze di polizia all'autorità giudiziaria","INFANTHOM","infanticidi","YRDUR","durante l'anno di riferimento","2018","2018",4,,
"IT","Italia","CRIMEN","numero di delitti denunciati dalle forze di polizia all'autorità giudiziaria","INFANTHOM","infanticidi","YRDUR","durante l'anno di riferimento","2019","2019",2,,
