;strage;omicidi volontari consumati;tentati omicidi;infanticidi;omicidi preterintenzionali;omicidi colposi;percosse;lesioni dolose;minacce;sequestri di persona;ingiurie;violenze sessuali;atti sessuali con minorenne;corruzione di minorenne;sfruttamento e favoreggiamento della prostituzione;pornografia minorile e detenzione di materiale pedopornografico;furti;rapine;estorsioni;truffe e frodi informatiche;delitti informatici;contraffazione di marchi e prodotti industriali;violazione della proprietà intellettuale;ricettazione;riciclaggio e impiego di denaro, beni o utilità di provenienza illecita;usura;danneggiamenti;incendi;danneggiamento seguito da incendio;normativa sugli stupefacenti;attentati;associazione per delinquere;associazione di tipo mafioso;contrabbando;altri delitti;
2006;26;621;1468;4;38;2148;13809;59143;71856;1608;55361;4513;460;192;1422;333;1585201;50270;5400;109059;2394;2186;6469;30042;1193;353;344253;12659;10104;32306;618;1074;128;1150;363629;
2007;21;627;1588;4;54;2040;14917;63602;81073;1867;61737;4897;501;182;1466;412;1636656;51210;6545;120710;3799;1863;5601;31104;1209;382;384529;16716;11762;34439;544;1011;140;1096;388842;
2008;28;611;1621;4;39;1881;15288;65791;83580;1816;64453;4893;474;168;1484;537;1392544;45857;6646;104174;4952;1856;4499;27786;1253;375;402163;12662;10728;34082;447;871;125;1062;415138;
2009;23;586;1346;4;36;1718;15205;65611;83483;1481;64479;4963;492;170;1311;543;1318076;35822;6189;99366;5510;1654;3438;23619;1269;464;415391;10921;9797;34101;376;872;131;1132;420252;
2010;12;526;1309;3;38;1765;14270;64866;81164;1436;62230;4813;582;175;1586;380;1325013;33754;5992;96442;5973;11745;2560;23686;1344;374;414923;9622;9721;32761;490;744;128;1067;409525;
2011;14;550;1401;2;31;1783;15196;68500;83316;1443;65370;4617;489;143;1505;322;1460205;40549;6099;105692;6933;9201;1935;23773;1350;352;398521;12980;10499;34034;439;906;93;1034;403735;
2012;18;528;1327;2;33;1716;15659;69527;86347;1474;67213;4689;558;120;1306;380;1520623;42631;6478;116767;7346;8920;1522;25080;1685;405;364435;13170;11209;33852;522;943;68;1284;410997;
2013;10;502;1222;2;37;1597;15606;66317;86294;1353;66414;4488;523;155;1170;489;1554777;43754;6884;140614;9421;7465;1075;25275;1891;460;341152;7388;9815;33578;462;792;75;1254;459844;
2014;20;475;1250;3;34;1633;15285;66178;85211;1278;64601;4257;494;173;1100;544;1573213;39236;8222;133261;10846;7847;1069;24935;1604;405;279277;6855;8572;33246;386;986;89;1231;439120;
2015;20;469;1203;1;20;1745;15249;64042;82539;1166;58620;4000;505;148;987;614;1463527;35068;9839;145010;9857;8455;1211;23048;1818;375;284755;8934;8940;32615;410;844;85;1106;420024;
2016;15;400;1079;3;24;1628;13819;63153;75011;1048;15781;4046;458;140;948;490;1346630;32918;9568;151464;10828;7755;1058;21693;1745;408;249850;8005;8502;36133;328;687;81;408;421285;
2017;17;368;1098;2;25;1706;14142;64814;75648;1039;2064;4634;483;171;763;560;1265678;30564;8496;164157;10586;6356;793;20022;1888;307;253030;10310;9779;39592;291;611;72;360;439369;
2018;20;331;1050;4;36;1733;13944;65382;74970;960;..;4887;495;151;634;613;1192592;28441;9954;189105;13282;5938;575;18182;1872;189;257729;4750;7655;40371;275;518;93;427;434648;
2019;14;318;1019;2;35;1759;14395;64891;74726;855;..;4884;518;173;524;793;1071776;24276;8997;212106;16148;4989;515;16159;1836;191;262248;6533;7435;39290;204;395;160;396;463352;
